Hogwarts House,Best Hand,Arithmancy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
Gryffindor,0,32667.0,-6.4972144445985505,-6.9774280884246895,4.026,-537.0011283872882,523.9821331934736,-4.8096366069645935,920.391449310792,0.8219105005879808,-0.0140404172390529,-256.84675,200.64
Gryffindor,0,60158.0,-7.820623052454388,-4.968785567163964,2.236,-444.2625366004496,599.3245143172293,-3.4443765754165385,937.4347240534976,4.311065821291761,-0.2640700765443832,-256.3873,157.98
Gryffindor,0,49167.0,-4.861976240490781,-6.280460512248515,4.9755221027479095,-926.8925116349668,583.7424423327342,-7.322486416427907,923.5395732944658,1.6466661386700716,0.1530218296077356,-257.83447,261.55
Hufflepuff,1,33010.0,5.931831618301035,-4.114127268406701,2.7689999999999997,-502.0213360777252,439.3514157413572,1.2431646648172716,1041.091935399735,6.58179131885481,-0.171704452341019,-244.03492000000003,72.25
Gryffindor,0,20278.0,-5.215891145868072,-4.963949449852823,5.855,-626.552041128547,567.8424015938325,-6.198661229053442,925.2555003872844,1.0865178213133744,1.1470315267700957,-252.27561,244.11
Hufflepuff,1,46316.0,7.922205496177112,-5.271935850836812,3.3560000000000003,-398.1019908932312,341.47560564416693,4.978613530314481,1041.4146653613177,2.068824178512835,-0.529578503638637,-244.57527,-0.09
Hufflepuff,1,35619.0,5.484188547740066,-6.049339619176023,5.358,-530.7958955569857,484.8726713263256,5.6996535617818695,1036.2853570584764,9.293131894951047,-0.4965534984054157,-242.69168,64.61
Hufflepuff,0,46550.0,5.320518357754184,-4.385569495868531,3.014,-518.5607177463045,417.0640932879666,4.8014365930153895,1046.7619580239934,6.376965575596179,-0.9196387437030824,-244.91344,20.66
Hufflepuff,1,26647.0,1.7053889315251418,-7.0909461383705175,7.091,-328.7129552924333,435.50218282153816,6.300649174524696,1037.0283168962144,8.110274495677984,-0.9391444307251472,-244.00363,7.56
Gryffindor,0,41907.0,-5.518263685781008,-4.7065375662672135,4.425,-434.2932661222959,596.6100889263835,-4.1618229744065465,967.2239116973597,5.027414761055882,-1.135957011752296,-252.27344,174.27
Gryffindor,0,58796.0,-4.8207708528931414,-6.511987485578008,4.357,-468.2847232096298,626.3728860307857,-5.206672041512534,935.5792903077672,3.0632066243706,0.1736145483146391,-254.92326,212.37
Hufflepuff,1,56909.0,6.981588542540248,-4.581270261474805,5.686,-579.6685909175318,403.3276902605525,4.2658097542267495,1052.0352351526687,3.4565189893797363,0.0702055342612155,-242.99904,3.81
Gryffindor,0,49822.37380952381,-3.858216489463063,-7.035535475473843,5.8660000000000005,-433.25035863215834,610.7326695816761,-5.029523289367204,944.9723856289352,3.0358906702990742,0.1625012864221627,-252.72548,215.2
Gryffindor,0,31882.0,-5.76315776392788,-6.8935614173140625,5.942,-16.519432386501975,475.4726339691527,-1.9744468934349493,961.1128278945888,4.431963256041222,1.5627795342839057,-251.21916,136.89
Hufflepuff,0,44987.0,0.1315163054974428,-6.731671096812503,9.421,-709.6964283834683,461.89673418950485,0.5318228689636264,1073.5852035654214,6.346026797398995,1.7477697551565254,-245.83067000000003,23.46
Hufflepuff,0,46505.0,6.11314406193578,-5.081611883528949,3.284,-387.5559813493135,407.3199405108696,5.142065215250079,1037.0804332529328,5.109155180436624,1.3300362081007877,-244.66168,19.76
Hufflepuff,1,32991.0,4.166334753886695,-6.125930323684193,5.142,-528.8095274677344,455.1147406869151,1.8799979516358296,1047.7888270360197,6.670688893495349,0.604617316244031,-245.14028,76.2
Gryffindor,0,40401.0,-5.077751004602562,-2.3688887900158813,5.517,-544.7589088830549,604.0963783054931,-4.9553196318390045,977.8967780641292,4.377128702454228,-1.5510451995400842,-249.38786,173.06
Hufflepuff,1,48832.0,3.331786028979228,-4.583420379432199,5.794,-357.1443808641858,327.38462690306415,8.575962196183463,1051.3448283965224,4.055017084006755,0.2177364837259843,-243.73112000000003,-100.06
Hufflepuff,0,48984.0,3.464527018807125,-6.0008134998843845,6.881,-678.5236439998978,387.2356260460736,5.68741322272218,1069.242717805681,6.449913395821935,1.9518172949103816,-244.6194,-36.54
Gryffindor,0,58112.0,-2.832054657210328,-5.143419372851155,5.754,-685.1710296006307,618.4414085954005,-7.003952866834519,957.091137731852,1.7322365656983032,0.3585953072795056,-252.33586,223.8
Hufflepuff,1,54477.0,4.907536817133842,-4.135749839598836,3.259,-363.0965932034584,325.8143841057654,4.604073252276106,1052.1052266728989,1.6087835209345582,0.4543663775736535,-246.1036,-48.86
Hufflepuff,1,43212.0,6.738672109965893,-5.692137823348701,5.141,-383.9528598513264,379.0419596079501,2.7647390103619123,1038.4298006989293,1.575659247465963,1.6422058316382266,-244.35366,30.91
Hufflepuff,1,59927.0,6.690899582239733,-3.8437314002707774,6.617000000000001,-715.2215547883462,456.3540636074681,4.847747054958306,1053.7152239332383,5.760332596076107,1.0959524660246396,-241.35887,15.52
Gryffindor,1,36947.0,-4.5399626259008725,-5.950935168155142,5.825,-526.992894168597,599.5970452832613,-4.4547142615818585,1012.1550506680401,4.163735873868918,0.4720483839118659,-251.84998,204.58
Gryffindor,0,52334.0,-4.853242383525319,-4.94083695769108,5.4220000000000015,-413.78262153792434,603.4019170744108,-5.213071996448341,944.0464656850093,1.7817419059762996,-1.416966998705505,-252.49781,189.06
Hufflepuff,1,29293.0,5.475306512698818,-4.864150306274456,6.614,-438.34397889607584,482.0620580996968,4.616138358367079,1029.8250116917336,7.088150790851537,-1.8906647860919297,-240.69411,70.68
Hufflepuff,1,44741.0,3.8529080471086825,-4.325608992333849,2.268,-275.7517474501566,350.30527411138735,1.2431646648172716,1041.560877849981,6.301946027733197,0.7430643743812463,-245.25254,-64.69
Hufflepuff,0,51536.0,5.1722758619274565,-4.400873111670082,4.542,-601.1879804095211,385.0149322785431,3.4715081598698303,1059.512001699204,4.0134841408943345,-0.1440408428387395,-245.0047,-1.25
Hufflepuff,1,52190.0,4.660387161137372,-4.961748495670465,5.138999999999999,-507.7965671067957,354.73273102288323,5.0054402954078725,1057.4527988027044,3.3895014197678117,1.0588427576788306,-245.05353,-38.96
Gryffindor,0,53157.0,-3.731583390209028,-6.4206680788777994,5.537000000000001,-430.8413869051128,592.0578084894732,-5.679532987655486,952.4800067295448,1.6241740139985756,-2.0024508868722384,-253.20894,195.93
Gryffindor,1,42836.0,-5.996391408199898,-4.206281622512083,4.066,-490.6709728461078,586.5663669451293,-4.608931187986684,958.5203482884486,4.0119384673969325,-0.6921841218019021,-253.0686,177.52
Gryffindor,0,44262.0,-4.159918828909026,-4.425297807980382,5.766,-725.1181562349636,569.3116078495827,-6.499374126107093,951.2873280242824,0.8087147473593586,0.4131136082059517,-252.47465,207.58
Hufflepuff,0,37503.0,4.013761055058096,-6.557822946950319,4.9755221027479095,-565.2083930793641,488.0185114462386,3.697794829572822,1044.3344279084552,8.27520702841892,0.5963720283092984,-243.60572,65.23
Hufflepuff,1,18882.0,4.749802945846046,-6.7994411487517965,2.991,-361.6947070580284,381.05457929351303,5.284483976823548,1038.2415655133746,7.024570762628695,-1.332439437031939,-245.8258,41.31
Gryffindor,1,45361.0,-4.8126746857821265,-5.792673013893156,5.5889999999999995,-286.93824511056187,592.320612107805,-3.2307414012837987,974.1081657516604,4.820525642893224,0.602047949653184,-251.28892,150.33
Hufflepuff,0,62083.0,4.760955687348787,-4.32235531177995,5.584,-443.2561433856852,333.6560195053469,6.010138182397384,1056.628084205546,1.8371015411409224,0.5029246072838629,-244.47797000000003,-79.62
Hufflepuff,1,70512.0,4.712187320128479,-1.9166200704041303,5.615,-810.1462515885353,363.3569051959082,2.8353328888452225,1084.6650919261292,2.267171052630643,-0.5614439161201905,-244.06118,-57.35
Hufflepuff,1,55840.0,7.407129158171243,-3.2622171982116317,5.6979999999999995,-603.3918929741014,411.3884030926083,3.572576309284673,1012.1550506680401,2.7482777708263617,-1.1008769793740267,-241.80063,15.35
